Mes,Mes_num,Planta,RFF_ton,Factor_estacionalidad,Excedente_deficit_ton
ENERO,1,Planta A,7051.0,0.4876995664153036,-7406.671249999999
ENERO,1,Planta B,25334.34,1.4743039755306302,8150.407500000001
ENERO,1,Planta C,14053.0,0.9495857131350639,-746.0853333333343
ENERO,1,Planta D,11129.0,1.0124226997438317,136.5558333333338
ENERO,1,Planta E,6475.319,1.056700928934701,347.4555500000006
ENERO,1,Planta F,3834.0,1.1913007700420275,615.6691666666666
FEBRERO,2,Planta A,7403.0,0.5120465026482048,-7054.671249999999
FEBRERO,2,Planta B,21591.0,1.2564644326902472,4407.067500000001
FEBRERO,2,Planta C,14614.0,0.9874934613076086,-185.08533333333435
FEBRERO,2,Planta D,11764.0,1.0701896522406718,771.5558333333338
FEBRERO,2,Planta E,7139.0,1.165006377549095,1011.1365500000002
FEBRERO,2,Planta F,3506.55,1.089555481270441,288.21916666666675
MARZO,3,Planta A,18240.923,1.2616778099723356,3783.2517499999994
MARZO,3,Planta B,21943.11,1.2769550858047192,4759.177500000002
MARZO,3,Planta C,17161.0,1.159598692315579,2361.9146666666657
MARZO,3,Planta D,12160.0,1.1062143974198035,1167.5558333333338
MARZO,3,Planta E,9381.8164,1.531009376522579,3253.95295
MARZO,3,Planta F,3692.0,1.1471785192997301,473.66916666666657
ABRIL,4,Planta A,18565.827,1.2841505854547635,4108.155750000002
ABRIL,4,Planta B,20593.97,1.1984433714459715,3410.037500000002
ABRIL,4,Planta C,16147.008,1.0910814848557306,1347.9226666666655
ABRIL,4,Planta D,11271.0,1.0253406639242273,278.5558333333338
ABRIL,4,Planta E,6810.795,1.1114469269056575,682.9315500000002
ABRIL,4,Planta F,3522.0,1.0943561064392333,303.66916666666657
MAYO,5,Planta A,17653.69,1.2210604110949057,3196.0187499999993
MAYO,5,Planta B,20234.0,1.1774953143001465,3050.067500000001
MAYO,5,Planta C,15836.144,1.0700758623460873,1037.0586666666659
MAYO,5,Planta D,12548.0,1.1415113699690538,1555.5558333333338
MAYO,5,Planta E,5315.227,0.8673866582324056,-812.63645
MAYO,5,Planta F,4092.3,1.2715597655824176,873.9691666666668
JUNIO,6,Planta A,15371.39,1.0631995799461826,913.71875
JUNIO,6,Planta B,15314.3,0.8911987986451879,-1869.6324999999997
JUNIO,6,Planta C,15442.063,1.0434471220473625,642.9776666666658
JUNIO,6,Planta D,10692.0,0.9726681198365574,-300.4441666666662
JUNIO,6,Planta E,4796.0,0.7826545155799776,-1331.8634499999998
JUNIO,6,Planta F,3254.4,1.0112074141952985,36.06916666666666
JULIO,7,Planta A,14873.19,1.0287403650847298,415.5187500000011
JULIO,7,Planta B,13155.33,0.7655599205827887,-4028.602499999999
JULIO,7,Planta C,13069.403,0.883122348822639,-1729.682333333334
JULIO,7,Planta D,13155.33,1.1967611388822914,2162.8858333333337
JULIO,7,Planta E,4488.442,0.7324644285276951,-1639.4214499999998
JULIO,7,Planta F,2631.58,0.8176847366789772,-586.7508333333335
AGOSTO,8,Planta A,13357.5,0.9239039793493714,-1100.1712499999994
AGOSTO,8,Planta B,11698.32,0.6807708305418448,-5485.612499999999
AGOSTO,8,Planta C,14448.931,0.9763394611594914,-350.15433333333385
AGOSTO,8,Planta D,9452.0,0.8598633622049328,-1540.4441666666662
AGOSTO,8,Planta E,5487.0,0.8954181248931061,-640.8634499999998
AGOSTO,8,Planta F,2638.0,0.8196795595646501,-580.3308333333334
SEPTIEMBRE,9,Planta A,13283.585,0.9187914685776245,-1174.0862500000003
SEPTIEMBRE,9,Planta B,23873.83,1.389311206849771,6689.897500000003
SEPTIEMBRE,9,Planta C,15064.475,1.017932842516213,265.389666666666
SEPTIEMBRE,9,Planta D,9790.0,0.890611755817424,-1202.4441666666662
SEPTIEMBRE,9,Planta E,5431.298,0.8863281703837574,-696.56545
SEPTIEMBRE,9,Planta F,2484.4,0.7719529559448131,-733.9308333333333
OCTUBRE,10,Planta A,13209.67,0.9136789578058777,-1248.0012499999993
OCTUBRE,10,Planta B,15824.07,0.9208643015793969,-1359.8624999999993
OCTUBRE,10,Planta C,14683.0,0.9921559116176007,-116.08533333333435
OCTUBRE,10,Planta D,9075.0,0.8255670770217695,-1917.4441666666662
OCTUBRE,10,Planta E,6556.474,1.0699445334409337,428.61055000000033
OCTUBRE,10,Planta F,2368.0,0.7357851391391552,-850.3308333333334
NOVIEMBRE,11,Planta A,18352.28,1.2693800877509924,3894.6087499999994
NOVIEMBRE,11,Planta B,6323.92,0.36801354986700513,-10860.012499999999
NOVIEMBRE,11,Planta C,13677.0,0.924178737532788,-1122.0853333333343
NOVIEMBRE,11,Planta D,9992.0,0.9089880147219306,-1000.4441666666662
NOVIEMBRE,11,Planta E,6451.6,1.0528302486896963,323.73655000000053
NOVIEMBRE,11,Planta F,2927.74,0.9097075942834755,-290.59083333333365
DICIEMBRE,12,Planta A,16130.0,1.1156706858997087,1672.3287500000006
DICIEMBRE,12,Planta B,10321.0,0.6006192121622917,-6862.932499999999
DICIEMBRE,12,Planta C,13393.0,0.9049883623438348,-1406.0853333333343
DICIEMBRE,12,Planta D,10881.0,0.9898617482175067,-111.4441666666662
DICIEMBRE,12,Planta E,5201.39,0.8488097103403961,-926.4734499999995
DICIEMBRE,12,Planta F,3669.0,1.1400319575597806,450.66916666666657
